* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
gadnet	raaputtaa hilsettä& nuolla kivijäkälää& raaputtaa hilsettä& nuolla kivijäkälää	V	+?
gáđohus	kadotus (usk.)	N	+?
gáfat	kauhea	A	A
gáfestus	kauhistus	N	N
gággá	leili	N	N
gáhččalit	lähteä (kiireesti tekemään jtak)	V	+?
gáhčči	pihka	N	N
gáhčči	valaannahka	N	+?
gáhčču	kiire	N	N
gahkit	kalvaa& painaa (kunteille)& kalvaa& painaa (kunteille)	V	+?
gáhkká	silmämuna	N	N
gahkká	änkyttäjä	N	N
gáhkkor	kaakkuri	N	N
gahpárus	sykkyräsuoli	N	N
gahput	kermoittua (maidosta)	V	+?
gáhrohastit	haravoida (kareelle)	V	+?
gáhtat	katua	V	V
gáhtta	katu	+?	N
gahtte	kiehkuraishylje	N	+?
gáhtu	katumus	N	N
gaibadit	varustaa lipalla	V	+?
gaiba	lippa	N	N
gáidagasas	loitolla	Adv	Adv
gáidagassii	loitos	Adv	+?
gaigŋir	kyynärpää	N	N
gaikánit	repeytyä	V	V
gáimmeš	gáimmežat: kaimakset	+?	+?
gáiri	vaalea juova poron tai koiran jalan etupuolella	N	+?
gáirras	juovainen (poron tai koiran koipinahasta: jossa on valkoinen juova etupuolella)	A	+?
gáivo	kaivo	N	N
gáivut	huitoa	V	V
gáivvihit	huiskahtaa	V	V
gájanas	kaiku	N	+?
gájodit	pelastaa (toistuvasti)& yrittää pelastaa& pelastaa (toistuvasti)& yrittää pelastaa	V	+?
gákcánit	jakautua kahdeksaan osaan	V	+?
gákci-	gákcilogi: kahdeksankymmentä	+?	+?
gákci	kahdeksikko (vars. pelikorteissa)	N	+?
gákkis	sarka& kangas& sarka& kangas	N	+?
gákšu	naarassusi& (naisesta halv.) narttu& naarassusi& (naisesta halv.) narttu	N	+?
gála	kahlaamo	N	N
gálbbenjunčuonjá	pikkukiljuhanhi& valkoposkihanhi& pikkukiljuhanhi& valkoposkihanhi	N	+?
galbmagáhkkor	vilukissa	N	+?
gálbmi	metsähauta	N	+?
galdái	paksurunkoinen	A	A
gáldet	kuohita (puukolla)	V	+?
gálgu	vaimo& eukko& vaimo& eukko	N	+?
gálihit	kahlauttaa& kuljettaa kahlaamalla& kahlauttaa& kuljettaa kahlaamalla	V	+?
galjat	isosilmäinen verkko	N	+?
galjidit	väljentää	V	V
galjot	isosilmäinen verkko (esim. nuotan osana)	N	+?
gálla	puun tumma ja vettynyt ydin	N	+?
gállet	kallita (viikatetta)	V	+?
gallet	käydä (jkn luona)	V	+?
gállis	aviomies& ukko& äijä& miekkonen& aviomies& ukko& äijä& miekkonen& aviomies& ukko& äijä& miekkonen& aviomies& ukko& äijä& miekkonen	N	+?
galljánit	väljetä	V	V
gálljo	telana käytetty pölkky	N	+?
galmmašit	pitää (liian) kylmänä	V	+?
galmmestit	jäähtyä (vähän)	V	+?
galmmihit	jäädyttää& pakastaa& jäädyttää& pakastaa	V	+?
galmmihit	kylmätä (äkkiä)	V	+?
gálojeatni	käly (miehen veljen tai serkun vaimo)	N	+?
gálojeneš-	gálọjēnežat: kälykset (veljesten tai serkusten vaimot keskenään)	+?	+?
gálššas	kolea (sää)	A	+?
gálvagorddet	peltokorte	N	+?
gálvát	istua tai maata kuivakkana	V	+?
gámme	(turve)kammi (yöpymissuojana)	N	+?
gánas	viluinen	A	A
gáŋga	kanki	N	N
gaŋgát	loikoa (pitkin pituuttaan)	V	+?
gaŋggo-	suora (erit. hännästä)	+?	+?
gaŋgi	köntys	N	N
gaŋkát	kurkottaa (kaulaansa)	V	+?
gaŋkko-	gaŋkkọōivviid: pää pystyssä (erit. hevosesta)	+?	+?
gánis	ristiluu	N	N
gánske	ehkä	Adv	Pcle
gapmu	aavistus	N	N
gáradit	sitoa (kuormia tai monta tavaraa kuormaan)	V	+?
gáranasbaika	(ylivuotinen) variksenmarja	N	+?
gáranas	korppi& talon pääty& korppi& talon pääty	N	+?
gáranasmánnu	huhtikuu (vanha nimi)	N	+?
gáranasmuorji	riekonmarja& sianpuolukka& riekonmarja& sianpuolukka	N	+?
gáranasrásit	gáranasrássi& ruohokanukka& gáranasrássi& ruohokanukka	+?	+?
gárbbis	(pienehkö) vene	N	+?
gárbmestovla	nojatuoli	N	N
garccastat	sitaisu	N	N
garcut	sitoa (löyhästi useita esineitä)& ommella (yli sauman)& sitoa (löyhästi useita esineitä)& ommella (yli sauman)	V	+?
gardnjil	kyynärpää	N	N
gárgadas	(pitkä) jono	N	+?
garggas	ryöppy	A|N	N
gargit	kipunoida& ryöpytä& kipunoida& ryöpytä	V	+?
gárgolaš	karkulainen	N	N
gárihuvvat	humaltua	V	V
gárkka	kitkerä (esim. savusta)	+?	+?
gáron	ahkion tai komsion laidassa oleva raksi	N	+?
garppas	hillitön& liian lyhyitä vaatteita pitävä& hillitön& liian lyhyitä vaatteita pitävä	A	+?
garradit	kovettaa	V	V
gárremaš-	gárrẹmaččain: hiprakassa& gárrẹmaččaide: hiprakkaan& gárrẹmaččain: hiprakassa& gárrẹmaččaide: hiprakkaan	+?	+?
garret	kuoria	V	V
garri	helposti kovettuva	A	+?
gársan	lammaskarsina (navetassa)	N	+?
gárssil	epätasaiseksi revitty (kankaasta)	Adv	+?
gártnit	sotamies (korteissa)	N	+?
gárvásii	valmiiksi	Adv	+?
gášan	kailottaja	N	+?
gasit	paksulti lunta	+?	+?
gaškát	pötköttää (pitkänään)	V	+?
gaskkalduhttit	keskeyttää	V	V
gaskkamus	keskimmäinen	A	A
gáskkašit	pureskella& raadella& pureskella& raadella	V	+?
gáskkus	(puraistu) suupala	N	+?
gassaborgi	purka (kun karva on loppusyksystä tasapaksua)	N	+?
gássái	(lehmästä:) jonka ternimaidosta saadaan runsaasti juustoa tai jolla on runsaasti ternimaitoa	+?	+?
gassalit	usuttaa (koiraa)	V	+?
gassaváhkká	reisilihakset	N	+?
gassodat	paksuus	N	N
gassuhit	usutella	V	+?
gastit	aivastaa	V	V
gásttadas	kostuke	N	+?
gásttas	märkä	A	+?
gátku	katko (korttipeli)	N	+?
gatna	hilse& puun kyljessä tai kivessä kasvava matala jäkälä& hilse& puun kyljessä tai kivessä kasvava matala jäkälä	N	+?
gatnjaluvvat	kyyneltyä	V	V
gáttehas	maakrapu	N	N
gáttimus	rannimmainen	+?	A
gávas	haukotus	N	N
gávastit	haukotella (kerran)	V	+?
gávččáldat	kiertotie (jnk edelle pääsemiseksi)	N	+?
gavdda	riite	N	+?
gávdnes	taitava löytämään	A	+?
gávdnjánit	löntystellä tiehensä	V	+?
gávdnjarakkis	suolinkainen (erit. kalalla)	N	+?
gavdnjet	pelottaa (pois)	V	+?
gávgil	kaukalo	N	N
gávildit	kavaltaa	V	V
gávkkas	toljottava& kolkko& toljottava& kolkko	A	+?
gávlu-	gávllubealli: vasen puoli (ajoporolla)	+?	+?
gávlun	kaulausreikä (taljassa koiven kohdalla)	N	+?
gávnnas	nauru	+?	N
gávppálaš	kaupallinen	A|N	A
gávppálaš	kauppias	A|N	N
gávrát	seistä käyränä	V	+?
gávri	käyrä olento tai esine	N	+?
gávrut	mennä jonnekin käyränä	Adv|V	+?
gávstá	kausta (reessä kaplaiden kannattama sivupuu)	N	+?
gavvaras	kippurakärki	N	+?
gavži	takakenossa seisova henkilö	N	+?
gávzzagit	vääntyä käkkyräiseksi	V	+?
gažadit	kuulustella	V	V
gažahit	kysellä (jstak tai jksta)	V	+?
gazzabiza	kynsiajos	N	+?
gazzasit	saada ote (jstak)& jäädä jnk tai jkun kynsiin& saada ote (jstak)& jäädä jnk tai jkun kynsiin	V	+?
gazzaš	sorkkanahka	N	+?
geabbil	ketterä	A	A
geađaš	ohimo	N	N
geađgádit	kivittää (relig.)	V	+?
geađgái	kivinen	A	A
geađgenjuorju	kirjohylje	N	+?
geađgerásttis	kivitasku	N	N
geahčastat	katse& ilme& katse& ilme	N	+?
geahččaladdat	koetella& kokeilla& koetella& kokeilla	V	+?
geahpadit	puolata (lankaa käpyyn)	V	+?
geahpedus	vähennettävä osuus (erit. kahvipannusta tai kattilasta ylikiehumisen välttämiseksi vähennettävästä nesteestä)& poisto& vähennettävä osuus (erit. kahvipannusta tai kattilasta ylikiehumisen välttämiseksi vähennettävästä nesteestä)& poisto	N	+?
geahpis	keuhko	N	N
geaidut	kääntää (silmät)	V	+?
geaiggagit	ojentua (suoraksi) alkaa sojottaa	V	+?
geainnohisvuohta	tiettömyys& neuvottomuus& tiettömyys& neuvottomuus	N	+?
gealddáhat	virike	N	+?
geallagasas	kiillotettuna	Adv	+?
geallagassii	kiillotetuksi	Adv	+?
gealli	kela (nuotanvedossa)	N	+?
geallit	kelata (nuottaa)	V	+?
gealva	kaulin	N	N
geanašit	jamoa (vähin erin)	V	+?
geandit	vääristellä (toisen sanomaa)	V	+?
geardu	pieni liikasarvi (porolla)	N	+?
gearjádus	kerjuu	N	N
gearʼ	(niin ja niin monta) kertaa	+?	+?
gearpmus	hämärä (yöstä)	A	+?
gearra	malja	N	N
gearrat	kiiltävä	A|V	A
gearrit	gearrẹgat: käräjät	+?	+?
gearru	käärö	N	N
gearsut	kulua tupsumaiseksi (sauvoimen päästä)	V	+?
geasádat	kesäinen sää keväällä tai syksyllä	N	+?
geasáhat	(suonen)veto	N	+?
geaseheapme	pieni (tilavuudeltaan)	A	+?
geasis	kesätti(valjaat)	N	+?
geasku	käsky	N	N
geasoheapme	pieni (tilavuudeltaan)	A	+?
geassásaš	(yksi)kesäinen	A	+?
geassastit	valjastaa	V	V
geastegiivvár	kestikievari	N	N
geatki	ahma	N	N
geatkkas	matalajalkainen (ihmisestä)	A	+?
geaŧŧu	kehto	N	N
geavla	(pikku)takki	N	+?
geavlit	poiketa (ja palata tokkaan takaisin& porosta)& poiketa (ja palata tokkaan takaisin& porosta)	V	+?
geavllas	kaareva	A	A
geavllil	kaarella& kaartaen& kaarella& kaartaen	Adv	+?
geavrát	seistä käyränä	V	+?
geavzi	kiero esine	N	+?
geazadit	sonnustautua& kohennella (asuaan)& varustautua (tekemään jtak)& sonnustautua& kohennella (asuaan)& varustautua (tekemään jtak)& sonnustautua& kohennella (asuaan)& varustautua (tekemään jtak)	V	+?
geazaldat	puohde (takissa vyön yläpuolelle jäävä pussimaiseksi vedetty kohta)	N	+?
geažehat	-puolisko (ajanjakson loppu tai alkupuolisko)	N	+?
geđđot	häikäistyä	V	V
geđget	kivetä& kivittää& kivetä& kivittää	V	+?
gefodat	köyhyys	N	N
gefot	köyhtyä	V	V
gehá	(rakennuksen) kehä	N	+?
gehlá	(nuotan) kela	N	+?
gehpot	(keveästi sauvottava) vene	N	+?
geiggo	muita pitemmäksi jätetty rakennuksen pitkän seinän ylimmäinen tai alimmainen hirsi	N	+?
gelbbolaš	kelvollinen	A	A
gendá	vanha asuinkenttä tunturissa	N	+?
genddot	kääntyä	V	V
gerges	joutuisa	A	A
gerjjodit	heiluttaa häntäänsä& mielistellä& heiluttaa häntäänsä& mielistellä	V	+?
gerolmas	kuuluisa	A	A
giebahit	noeta	V	+?
gieđalaš	kätevä (käsistään)	+?	+?
gieđalatheargi	käsihärkä (lähin raidossa)	N	+?
gieđbmi	kattila& pannu& sanko& kattila& pannu& sanko& kattila& pannu& sanko	N	+?
gieddegeašáhkku	tietäjäeukko (folkl. kentänpään eukko)	N	+?
gieddegeašgálgu	tietäjäeukko (folkl. kentänpään eukko)	N	+?
gieddesuoidni	niittynurmikka	N	N
giegacizáš	käenpiika	N	+?
giegir	henkitorvi	N	N
giehka	käki	N	+?
giehpa	noki	N	+?
giehppi	leuanalus (porolla)	N	+?
giehtadallat	käsitellä	V	V
gieimman	kiimainen eläin	N	+?
giektat	noeta	V	+?
gielaheapme	ansaton	A	+?
gieldagas	kinnerjänne	N	+?
gieldá	(kangas)keltalieko	+?	+?
gieldda	kielto	N	N
gieldit	kieltää& evätä& antaa rukkaset (jklle)& kieltää& evätä& antaa rukkaset (jklle)& kieltää& evätä& antaa rukkaset (jklle)	V	+?
giellut	hyytyä (verestä)	V	+?
gielu	(veri)hyytymä	N	+?
gierdavašvuohta	kärsivällisyys	N	N
gierddus	vanneaines	N	+?
gierdil	kärsivällinen	A	A
gierdu	vanne& ympyrä& vanne& ympyrä	N	+?
gierremas	ohutseinäinen (luusta)	+?	+?
giesadit	kietoa kengänpaulansa	V	+?
giesahat	(pauloitettu) nilkka	N	+?
gieškadit	pingottaa (talja kuivumaan)	V	+?
giettádat	kenttää muistuttava paikka	N	+?
gieva	suonsilmäke	N	+?
gievrrastallat	voimailla	V	V
gievru	gievrru: (sen ja sen) vahvuinen	+?	+?
gievttadit	noeta itsensä	V	+?
gievvudit	riehua (ilon tai mielenkuohun vuoksi)	V	+?
giezzi	(lyhyt) joki (järvien välissä)	N	+?
gihládit	kihlata	V	V
gihlar	(huonoääninen) tiuku	N	+?
gihppet	niputtaa	V	V
gihpudit	olla tai tuntea (kovia) kipuja	V	+?
gihpu	(kova) kipu	N	+?
giige	kukin	Pron	Pron
giige	kukaan	Pron	Pron
giikan	kiikari	N	N
giilu	jouhivihvilä	N	N
giinnahit	elää kituuttaa (erit. kitsaasta ihmisestä)	V	+?
giippár	tynnyrintekijä	N	N
giitalus	kiitos (usk.)	N	+?
giktot	yltyä (tekemään jtak)	V	+?
gildát	kukoistaa	V	V
giljobaš	kiljuhanhi	N	N
gilká	tiuku	N	+?
gilkkihit	kilkuttaa (trans.)	V	+?
gillámuš	kärsimys	N	N
gilljon	kiljuhanhi	N	N
gillot	hyytyä (verestä)	+?	+?
gillot	joutua ansaan& tulla varustetuksi ansoilla (ansakaarteesta)& tulla asetetuksi (ansasta)& joutua ansaan& tulla varustetuksi ansoilla (ansakaarteesta)& tulla asetetuksi (ansasta)& joutua ansaan& tulla varustetuksi ansoilla (ansakaarteesta)& tulla asetetuksi (ansasta)	+?	+?
ginal	leukakappale (nyljetyssä porontaljassa)	N	+?
girdálas	lentelevä	+?	A
girddašit	lennellä& käväistä (juosten)& lennellä& käväistä (juosten)	V	+?
girdi	lentokone& lentäjä& lentokone& lentäjä	N	+?
girdi	lentävä	N	A
girdnet	kirnuta	V	V
girdnot	kirnuta	+?	V
girdnut	kirnuta	V	V
girje	kirjavan koiran nimitys	N	+?
girjjis	kirjavan koiran nimitys	N	+?
girjjogárjjohallat	kirjoa (folkl.)	V	+?
girjjohallat	kirjoa (useita esineitä)	V	+?
girkat	kirkas (silmistä)	A	+?
giron	kiiruna	N	N
girsa	pukki	N	N
girtat	tarjeta	V	V
gišket	leikata hanka (korvamerkkiin)	V	+?
giškon	hankakorva (porosta)	N	+?
gissa	mekastus	N	N
gissat	mekastaa	V	V
giš	sooh (nopeammin huudahdus ajokkaalle)	Interj	+?
gissor	kisura	N	+?
gistu	(ruumis)arkku	N	+?
givas	päättäväinen& peloton& päättäväinen& peloton	A	+?
givgás	kiuas	N	+?
givlo	kiulu	N	N
givrras	köyry	A	A& N
givssádus	kiusa& kiusanhenki& kidutus& kiusa& kiusanhenki& kidutus& kiusa& kiusanhenki& kidutus	N	+?
givšttidit	mekastaa	V	V
gižaldat	sarana	N	N
goabagit	kupristua	V	V
goađádas	kolmijalka (ripustamista varten tai säilytyslavan nurkan alla)	N	+?
goađelut-	goađẹlutolmmoš: kotimies (kodalla oleva)	+?	+?
goađut	tyly	+?	A
goagis	tarvepuu komsion kuomua varten	N	+?
goahccái	jossa on paljon neulasia	+?	+?
goahcci	neulanen	N	N
goahkádit	varustaa (komsio) kuomulla	V	+?
goahki	(erit. komsion) kuomu	N	+?
goaidi	(lohen)punainen	A	+?
goaigi	(uros)kärppä& hujoppi& (uros)kärppä& hujoppi	N	+?
goaivu	lapio	N	N
goaivvis	kaivos (jossa poro voi kaivaa jäkälää lumen alta)	N	+?
goalkkuhit	kolkuttaa	V	V
goallát	alkaa palella	V	+?
goalmmádis	kolmannen kerran	Adv	+?
goalsi	(pikku)koskelo	N	+?
goalššas	kolea	A	A
goalšu	ruoko	N	+?
goalva	(kumollaan olevan veneen) pohja	N	+?
goalvát	olla kumollaan (veneestä)	V	+?
goappos	kumpaalle	Adv	+?
goarjadit	maata (kerällä& koiraeläimistä)& maata (kerällä& koiraeläimistä)	V	+?
goarpa	korppi	N	N
goarrálat	(vinosti laskeutuva) talvitie	N	+?
goartálastit	mitata vaaksalla	V	+?
goaskit	nuoremman sisaren tai naisserkun lapsi (tädilleen)	N	+?
goaŧŧu	kohtu	N	N
goavádat	porokatokeväälle tyypillinen kylmä sää	N	+?
goavdi	katos& komo& katos& komo	N	+?
goavis	ankara (olosuhteista)& kovasydäminen& ankara (olosuhteista)& kovasydäminen	A	+?
goavku	(oven) rako	N	+?
goavrras	köyry	A	A& N
goavrut	kävellä köyryssä ja isokokoisena	Adv|V	+?
gobbá	kovakuoriainen	N	N
gobmidit	kummitella	V	V
gođán	kudelma	N	N
goddádat	peuran talja	N	+?
goddet	pyytää peuroja	V	+?
gođđu	kutu	N	N
gođus	kudottava esine& kudos& kudelma& kudottava esine& kudos& kudelma& kudottava esine& kudos& kudelma	N	+?
gohccát	herätä	V	V
gohččui	nokinen	+?	A
gohččun	käsky& kutsu& käsky& kutsu	N	+?
gohči	puukonnysä	N	+?
gohcut	(R) ripustella	V	+?
gohpalastit	hiertyä (rakoille)	V	+?
gohpat	kovertaa& kaivertaa& kovertaa& kaivertaa	V	+?
gohpolas	tahmea	+?	A
gohppái	kuoppainen& painanteinen& syvänteinen& kuoppainen& painanteinen& syvänteinen& kuoppainen& painanteinen& syvänteinen	+?	+?
goidoš	vätys	N	N
golahus	kulutus& kulu& kulutus& kulu	N	+?
goldnat	kuihtua	V	V
golggahus	vuodatus	N	N
golgi	virtaava& juokseva (nesteestä)& virtaava& juokseva (nesteestä)	+?	+?
golgŋet	vastata (vähän tai nopeasti porotokan reunaa)	V	+?
golgot	olla alttiina juoksevalle tai vuotavalle vedelle	V	+?
golka	(iso) kulkunen	N	+?
gollái	jossa on paljon kultaa& kultainen& jossa on paljon kultaa& kultainen	+?	+?
gollas	kultainen	A	A
golláš	silmäterä	N	N
gollebahta	kiiltokärpänen	N	N
gollen	kultasormus	N	N
gollerássi	rentukka	N	N
gollet	kullata	V	V
gollolas	palelevainen	+?	+?
golluhit	kultailla& kimallella (kuten kulta)& kultailla& kimallella (kuten kulta)	V	+?
golnnas	kuihtunut	A	A
gološ	kylmänarka (ihminen)	+?	+?
golve	(tinaus)kolvi	N	+?
gomu	jyrkänne	N	+?
gonagaslaš	kuninkaallinen	A	A& N
gone	koni	N	N
gonte	kontti	N	N
gopmat	kumista	V	V
gopmirdit	kumartaa	V	V
goppalákču	suursukeltaja	N	+?
gorddet	järvi- tai kirjokorte	N	+?
gorde-	gordẹsuoidni: korte	+?	+?
gorgŋet	kiivetä (nopeasti)& lähteä kiipeämään& sauvoa (nopeasti)& lähteä sauvomaan& kiivetä (nopeasti)& lähteä kiipeämään& sauvoa (nopeasti)& lähteä sauvomaan& kiivetä (nopeasti)& lähteä kiipeämään& sauvoa (nopeasti)& lähteä sauvomaan& kiivetä (nopeasti)& lähteä kiipeämään& sauvoa (nopeasti)& lähteä sauvomaan	V	+?
gorket	nostahuttaa (tulella olevaa kattilaa ylemmäs)	V	+?
gorkŋodit	kiipeillä& sauvoskella& kiipeillä& sauvoskella	V	+?
gorrái	suhteen	Po	Po
gorrat	kuroa (yhteen)& sitoa (yhteen)& kuroa (yhteen)& sitoa (yhteen)	V	+?
gorrehat	nousupaikka (jäältä maalle)	N	+?
gorret	nousta (jäältä maalle)	V	+?
gosádit	yskäistä	V	V
gosahit	yskittää	V	V
gotka	muurahainen	N	N
gottašit	tappaa (vähin erin)& saada saalista (vähin erin)& tappaa (toisensa)& tappaa (vähin erin)& saada saalista (vähin erin)& tappaa (toisensa)& tappaa (vähin erin)& saada saalista (vähin erin)& tappaa (toisensa)	V	+?
govddiidit	nousta pintaan	V	+?
govdodat	leveys	N	N
govdu	kelluva	+?	A
govdut	kellua& lainehtia& kellua& lainehtia	V	+?
govket	raottaa	V	V
govssáhallat	jäädä ilman tai liian vähälle (jkn etuilun vuoksi)	V	+?
govvái	yllätyksekäs	+?	+?
gozastit	ripustaa	+?	V
gozihit	valvoa (jtak)& valvottaa& valvoa (jtak)& valvottaa	V	+?
gožuduvvat	nokeentua	V	V
gožu	noki	N	+?
gubbarastit	heittää kuperkeikkaa	V	+?
gubbi	kyssäniska	N	+?
guččár	kusikas (poro)	N	+?
guđadassii	kuudenneksi (lueteltaessa)& kuudennen kerran& kuudenneksi (lueteltaessa)& kuudennen kerran	Adv	+?
guđaidit	kuhista	V	V
guđat	kuudes	A	Num
gudda	hyöty	N	N
guđjet	peittää (ahkiokuorma peitteellä)	V	+?
gudjor	(joessa talvehtinut) meritaimen	N	+?
gudnejahttit	kunnioittaa	V	V
gudnet	tuhkata	V	V
guđodit	syödä (laitumella& pitkään)& syödä (laitumella& pitkään)	V	+?
guđohat	syömäpaikka (laidunalueella)	N	+?
guđoldahttit	syöttää (valjastettuja poroja laitumella kesken ajomatkan)	V	+?
guđoldat-	jälkijättöinen	+?	A
guhciidit	haista mädältä	V	+?
guhkan	kukkuja	N	+?
guhkká	kukka& siankärsämö& kukka& siankärsämö	N	+?
guhkkálaga	kaukana toisistaan	Adv	+?
guhkkár	kukkaro	N	N
guhkkat	kukkua	V	V
guhkkosaš	pituinen	A	A
guhkku	guhku: pituinen	+?	+?
guhpiidit	haista homeelta	V	+?
guhpirdit	heittää kuperkeikkaa	V	+?
guhppá	kuppaus	N	N
guhppejeaddji	kuppari	N	N
guhppet	kupata	V	V
guhtamáhka	kalansuolimakkara	N	+?
guhtet	kukin	Pron	Pron
guita	sujut	Adv	Pcle
guittidit	kuitata	V	V
gulahit	saada kuulemaan& kuuluttaa (erit. avioliittoon)& saada kuulemaan& kuuluttaa (erit. avioliittoon)	V	+?
gulahus	kuulutus	N	N
gulámuddui	kuuloetäisyydelle	Adv	+?
gulámuttos	kuuloetäisyydellä	Adv	+?
gulaskuddat	tiedustella	V	V
gulbmi	silmäkulma	N	N
gulca	puukonnysä	N	+?
gulcat	nyrhiä	V	V
gulccas	huono (puukosta)	+?	+?
guljodit	puskea (monta kertaa)& puskea toisiaan& puskea (monta kertaa)& puskea toisiaan	V	+?
gulkat	jystää (esim. huonolla kirveellä)	V	+?
gulladit	saada tai panna (luu) murtumaan	V	+?
gulles	tarkkakorvainen& herkkäuninen& tarkkakorvainen& herkkäuninen	+?	+?
gullet	(R) kalastaa	V	+?
gulli	(jllek) kuuluva& kuulija& (jllek) kuuluva& kuulija	N	+?
gullu	kuloheinä	N	N
gulpet	kalauttaa (puukalikalla)	V	+?
gumppenjuolla	luupuikko hirvieläimen takajalan lihassa	N	+?
guobaldat	poimutus& pussinmuotoinen osa naistenlakissa& poimutus& pussinmuotoinen osa naistenlakissa	N	+?
guoddalit	kannella	V	V
guoddi	kantaja& vasoja& kantaja& vasoja	N	+?
guodja	(saraheinän) käpy	N	+?
guoggarasas	kyyryssä	Adv	Adv
guoggarassii	kyyryyn	Adv	Adv
guoggaruššat	kyyrötellä	V	+?
guoggát	olla kyyryssä	V	+?
guoggi	kyyry olio	N	+?
guoggun	kurkunpää	N	N
guoggut	kyyröttää	Adv|V	V
guohár	kuohari	N	N
guohcarássi	suopursu	N	N
guohkkat	kuokkia	V	V
guohkki	kuokka	N	N
guohpa	home	N	N
guohpasit	poimuttua (saumasta)& soveltua poimutettavaksi& poimuttua (saumasta)& soveltua poimutettavaksi	V	+?
guohpput	homehtua	V	V
guohttelus	kiila (peskissä kaula-aukon kahden puolen)	N	+?
guohttu	halukas laiduntamaan	A	+?
guoika	koski	N	N
guoikgáhrit	koskikara	N	N
guoirat	laihtua (kovasti)& masentua (vastoinkäymisistä)& laihtua (kovasti)& masentua (vastoinkäymisistä)	V	+?
guoksa	maiti	N	N
guoktánit	saada synnytetyksi& päästä nalkista (parittelevista koirista)& saada synnytetyksi& päästä nalkista (parittelevista koirista)	V	+?
guolástit	kalastaa	V	V
guolbmá	karvanluonti (kun peitinkarvat ovat vielä aivan lyhyet)	+?	+?
guolbmat	nousta (kuusta)	V	+?
guolgái	karvainen	A	A
guolga	karva	N	N
guolladat	kalvoin (verkonkudonnassa)	N	+?
guolljut	puskea	V	V
guonddal	kuontalo (kehrätessä)	N	+?
guopmi	kitalaki	N	+?
guopmolággá	umpisuoli	N	N
guorbá	karvakulu ajokas& pahanilmanlintu& karvakulu ajokas& pahanilmanlintu	N	+?
guorbát	olla jssak karvakuluna& olla jssak pahanilmanlintuna& olla jssak karvakuluna& olla jssak pahanilmanlintuna	V	+?
guorbban	karvakulu ajokas& pahanilmanlintu& karvakulu ajokas& pahanilmanlintu	N	+?
guorbmi	kuorma	N	N
guorga	kurki	N	N
guorká	lapamato	N	N
guorpmat	kampela (Tenoon nouseva)	N	+?
guorril	taitava seuraamaan (jälkeä)	A	+?
guorri	umpeenmennyttä ahkionuraa hyvin noudattava ajokas	N	+?
guorru	(kesällä kuivuva) lampi	N	+?
guorsat	köhiä	V	V
guorssahat	köhä	N	N
guorti	kasvain& sydänalakipua aiheuttava eliö (folkl.)& kasvain& sydänalakipua aiheuttava eliö (folkl.)	N	+?
guoskkahit	koskettaa	V	V
guossái	jossa on paljon vieraita	+?	+?
guostát	häämöttää	V	V
guosttaheavdni	lumikirppu	N	+?
guotku	kannas	N	N
guottádat	hankikanto	N	N
guottestuvvat	aikoa tai haluta vasoa	V	+?
guottu	juurakko	N	N
guovdajuohku	tasajako	N	+?
guovdelaš	keskellä	Pr|Po	Adv
guovdnjut	tulla ontoksi	V	+?
guovgát	olla väriltään hallava& olla väriltään haalistunut& olla väriltään hallava& olla väriltään haalistunut	V	+?
guovllas	kaulain	N	N
guovnnjas	ontto	A	A
guovttáš	kakkonen	N	N
guppagit	tulla kyssäniskaiseksi	V	+?
guppar	kupari	N	N
guppas	kyssäniskainen	A	+?
gurci	liian syvä esine	N	+?
gurdit	jystää	V	+?
gurehit	kurittaa	V	V
guret	kurenauha	N	N
gurgadas	jono& rivi& säe& jono& rivi& säe& jono& rivi& säe	N	+?
gurgánit	asettua jonoon& lähteä jonossa liikkeelle& asettua jonoon& lähteä jonossa liikkeelle	V	+?
gurppastat	niputusnaru	N	+?
guršu	(pieni ja jyrkkä) kanjoni	N	+?
gurtádat	(eläimen) kaulanahka	N	+?
gurtet	erottaa kaulalihat (kaularangasta)	V	+?
gurti	(poron) kaulalihat	N	+?
guskkádávda	tyrä	N	N
guškkástat	(pikku)kuovi	N	+?
gušmmus	jäykkä& karski& jäykkä& karski	A	+?
gussagoalsi	isokoskelo	N	N
gussolas	jolle usein tarjotaan	A	+?
guvʼčalbmi	pienisilmäisin sallittu verkko (lohipadossa) XXX	+?	+?
guvhllas	kuhmuinen	A	A
guvllár	puoskari	N	N
guvrát	seistä tai istua selkä köyryssä	V	+?
guvri	köyry (selässä)	N	+?
guvrut	kävellä selkä köyryssä	Adv|V	+?
guvžá	meritaimen	N	N
háddjái	haiseva	A	A
háddjet	hajottaa	V	V
háđirdit	hutiloida	V	V
hága	haka (aitaus)	A|N	+?
háhccát	olla jssak jalat harallaan	V	+?
hahcuhit	härnätä	V	V
háhkalas	innokas hankkimaan	+?	+?
háhká	puna-ahven	N	N
háhku	aie	N	+?
hahppit	pulputtaa	V	V
háhtádus	kiusankappale	N	N
háhttásii	ahtaalle	Adv	Adv
háhttásis	ahtaalla	Adv	Adv
hahttá	ilman	Pr|Po	Adv& Po
